iter	Passed	Remaining
0	1	1825
1	3	1814
2	5	1767
3	6	1741
4	8	1732
5	10	1725
6	12	1722
7	13	1715
8	15	1708
9	17	1701
10	18	1691
11	20	1688
12	22	1684
13	23	1677
14	25	1676
15	27	1676
16	28	1673
17	30	1672
18	32	1666
19	33	1661
20	35	1660
21	37	1658
22	38	1656
23	40	1653
24	42	1652
25	44	1650
26	45	1646
27	47	1645
28	49	1644
29	50	1640
30	52	1639
31	54	1637
32	55	1636
33	57	1634
34	59	1632
35	60	1630
36	62	1628
37	64	1627
38	65	1623
39	67	1620
40	69	1619
41	70	1617
42	72	1616
43	74	1618
44	76	1617
45	77	1615
46	79	1614
47	81	1612
48	83	1611
49	84	1610
50	86	1608
51	88	1607
52	89	1607
53	91	1605
54	93	1603
55	94	1600
56	96	1599
57	98	1598
58	100	1598
59	101	1597
60	103	1596
61	106	1604
62	107	1602
63	109	1600
64	111	1599
65	112	1597
66	114	1594
67	116	1592
68	118	1594
69	119	1592
70	121	1591
71	123	1589
72	125	1587
73	126	1585
74	128	1583
75	130	1581
76	131	1579
77	133	1580
78	135	1577
79	136	1575
80	138	1573
81	140	1570
82	141	1568
83	143	1565
84	145	1563
85	146	1562
86	148	1560
87	150	1557
88	151	1555
89	153	1553
90	155	1551
91	157	1550
92	158	1548
93	160	1545
94	162	1544
95	163	1542
96	166	1548
97	168	1548
98	170	1548
99	172	1548
100	174	1557
101	177	1559
102	178	1558
103	180	1558
104	183	1560
105	185	1564
106	187	1567
107	189	1568
108	192	1570
109	193	1568
110	195	1568
111	197	1566
112	202	1585
113	203	1584
114	205	1582
115	208	1592
116	210	1591
117	212	1590
118	214	1587
119	216	1585
120	217	1582
121	219	1579
122	221	1577
123	222	1575
124	224	1572
125	226	1570
126	228	1567
127	229	1564
128	231	1562
129	233	1559
130	234	1556
131	236	1554
132	238	1551
133	239	1548
134	241	1546
135	243	1543
136	244	1541
137	246	1538
138	247	1535
139	249	1533
140	251	1531
141	252	1528
142	254	1526
143	256	1523
144	257	1520
145	259	1518
146	261	1515
147	262	1513
148	264	1510
149	266	1508
150	267	1506
151	269	1506
152	271	1503
153	273	1501
154	274	1498
155	276	1496
156	278	1494
157	279	1491
158	281	1488
159	283	1486
160	284	1484
161	286	1481
162	288	1479
163	289	1477
164	292	1479
165	294	1478
166	296	1480
167	298	1480
168	301	1481
169	303	1479
170	304	1476
171	306	1477
